0,0,0,,,,,,,,,,,,,,,,,,,
1165.2894,531.6198225,574.1758242,,,,,,,,,,,,,,,,,,,
2387.801921,1057.44848,1147.83866,,,,,,,,,,,,,,,,,,,
3963.69906,1709.756213,1858.042636,,,,,,,,,,,,,,,,,,,
5186.920418,2166.947148,2331.636711,,,,,,,,,,,,,,,,,,,
6492.904475,2621.157417,2861.919497,,,,,,,,,,,,,,,,,,,
7847.039778,3061.765383,3396.673276,,,,,,,,,,,,,,,,,,,
9267.175822,3474.855114,3956.995555,,,,,,,,,,,,,,,,,,,
10694.75553,3882.721964,4546.06913,,,,,,,,,,,,,,,,,,,
12168.7803,4300.598806,5126.893493,,,,,,,,,,,,,,,,,,,
13560.10682,4717.210785,5636.583666,,,,,,,,,,,,,,,,,,,
14906.69832,5114.73869,6141.480786,,,,,,,,,,,,,,,,,,,
16113.16865,5492.774128,6677.032107,,,,,,,,,,,,,,,,,,,
17241.36767,5851.412426,7254.124167,,,,,,,,,,,,,,,,,,,
18286.21125,6206.29808,7875.041972,,,,,,,,,,,,,,,,,,,
19284.66855,6556.951597,8505.916751,,,,,,,,,,,,,,,,,,,
20314.34237,6912.948603,9138.1565,,,,,,,,,,,,,,,,,,,
21430.90951,7301.956102,9768.655662,,,,,,,,,,,,,,,,,,,
22606.31426,7684.992366,10397.58311,,,,,,,,,,,,,,,,,,,
23802.60549,8068.96601,11044.35987,,,,,,,,,,,,,,,,,,,
24959.47562,8434.219151,11707.51982,,,,,,,,,,,,,,,,,,,
