2000,17399.2674
2001,18269.23077
2002,19000
2003,19000
2004,21500
2005,23000
2006,25000
2007,28000
2008,29000
2009,28000
2010,30000
2011,33000
2012,35000
2013,38000
2014,40500
2015,42000
2016,44000
2017,46200
2018,48510
2019,50935.5
2020,53482.275
