,,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Household & Furniture,In Use,0.0,80.384615388,156.750000007,228.852875599,293.714773143,363.49977728,432.835471741,503.608044531,579.603011894,650.226570204,706.014083583,761.898381183,822.592091555,883.484219752,949.734695278,1018.89293395,1086.24728058,1154.37499351,1224.17787067,1296.03067273,1370.22447936
Household & Furniture,End of Life,0.0,0.0,0.0212440662186,0.328148966797,1.7351854848,5.74327811234,14.4388003599,30.042281839,53.9614050054,85.4982960018,121.14294042,155.764515098,185.486626471,209.611024993,229.782918013,247.963599705,265.275590106,282.036234933,298.456108686,315.251360992,333.490392321
Household & Furniture,Stock,803.84615388,1567.50000007,2288.52875599,2937.14773143,3634.9977728,4328.35471741,5036.08044531,5796.03011894,6502.26570204,7060.14083583,7618.98381183,8225.92091555,8834.84219752,9497.34695278,10188.9293395,10862.4728058,11543.7499351,12241.7787067,12960.3067273,13702.2447936,14469.4110269
Automotive,In Use,0.0,34.450549452,67.1785714314,98.0804690737,125.888633826,155.849715979,185.738096268,216.494953634,249.925168105,281.678550897,307.810123729,334.654433819,363.963109393,393.394538588,424.868317088,457.213820005,488.43920902,519.740376847,551.58998192,584.211951223,617.793500641
Automotive,End of Life,0.0,0.0,0.0024521451303,0.0378834082108,0.200544638097,0.666481131813,1.69333007179,3.60290165256,6.74100397696,11.4057207856,17.7467753752,25.6588104398,34.7225986543,44.2676764137,53.5766537359,62.1322898495,69.7491127045,76.5235724264,82.6883250513,88.4954545947,94.1710720137
Automotive,Stock,344.50549452,671.785714314,980.804690737,1258.88633826,1558.49715979,1857.38096268,2164.94953634,2499.25168105,2816.78550897,3078.10123729,3346.54433819,3639.63109393,3933.94538588,4248.68317088,4572.13820005,4884.3920902,5197.40376847,5515.8998192,5842.11951223,6177.93500641,6524.91947876
Medical,In Use,0.0,74.642857146,145.553571435,212.507954515,272.763145639,337.700580589,402.529845522,469.34693271,542.147765706,611.6178779,669.332626342,729.124125638,794.840444239,861.368777503,932.723088061,1006.14643118,1077.09551975,1147.99608824,1219.80057105,1293.00327518,1368.0665821
Medical,End of Life,0.0,0.0,0.00259776061786,0.0401342443318,0.212504867725,0.70677007589,1.7992825986,3.84473732692,7.25111235589,12.4346376822,19.7523806955,29.4126883515,41.376223118,55.2881169172,70.4934807348,86.1626831253,101.498795321,115.93908372,129.251387665,141.496605586,152.916341594
Medical,Stock,746.42857146,1455.53571435,2125.07954515,2727.63145639,3377.00580589,4025.29845522,4693.4693271,5421.47765706,6116.178779,6693.32626342,7291.24125638,7948.40444239,8613.68777503,9327.23088061,10061.4643118,10770.9551975,11479.9608824,12198.0057105,12930.0327518,13680.665821,14454.0724948
Other Industries,In Use,0.0,57.41758242,111.964285719,163.467809727,209.820296119,259.784386713,309.69303702,361.190816665,417.4011775,471.227204334,516.27263026,563.271212151,615.273826126,668.417801051,725.820444808,785.334317364,843.37790433,901.683756142,960.831691982,1021.06075789,1082.62041037
Other Industries,End of Life,0.0,0.0,0.000474200904346,0.00732635384322,0.0387979391885,0.129110215652,0.329166527612,0.705574993437,1.33855415283,2.31853641353,3.74155082908,5.7026480958,8.28642462755,11.5557613772,15.5408296273,20.2298129751,25.5635775496,31.4368854587,37.7076489686,44.2142172651,50.7981024437
Other Industries,Stock,574.1758242,1119.64285719,1634.67809727,2098.20296119,2597.84386713,3096.9303702,3611.90816665,4174.011775,4712.27204334,5162.7263026,5632.71212151,6152.73826126,6684.17801051,7258.20444808,7853.34317364,8433.7790433,9016.83756142,9608.31691982,10210.6075789,10826.2041037,11457.7006659
Packaging,In Use,0.0,34.450549452,67.1785714314,95.2929405131,101.25354368,110.312653645,120.620419095,133.449364549,147.935920692,160.952273934,167.983630837,174.780153684,185.862858818,200.570268123,217.069179925,233.216278558,247.999943655,261.533208426,275.038926626,289.76632571,305.248292775
Packaging,End of Life,0.0,0.0,27.8777377514,221.301027819,233.85535667,242.009691858,246.090126362,276.085074023,296.10054689,323.13415703,358.051140694,367.792794973,360.063048131,386.840613863,423.35983374,450.547070479,487.867408637,518.169609571,538.185082537,563.93690364,592.123507031
Packaging,Stock,344.50549452,671.785714314,952.929405131,1012.5354368,1103.12653645,1206.20419095,1334.49364549,1479.35920692,1609.52273934,1679.83630837,1747.80153684,1858.62858818,2005.70268123,2170.69179925,2332.16278558,2479.99943655,2615.33208426,2750.38926626,2897.6632571,3052.48292775,3214.06017294
Electronics,In Use,0.0,34.450549452,67.1785714314,98.0515854619,125.419528056,153.19368767,177.087247129,197.866786021,220.003095624,240.940845168,256.903399359,273.958777624,293.786491276,314.086887319,337.087113866,362.031670748,386.702351911,411.487232685,436.348162131,461.413371741,486.935029134
Electronics,End of Life,0.0,0.0,0.29128826322,4.46898860207,22.5388758022,63.2707177355,110.117363951,135.170117948,144.819408935,153.833612925,166.542817995,181.164085853,196.209548294,208.310847212,215.367317318,222.861517619,236.648840352,254.66347285,273.497741774,291.892954323,308.278452787
Electronics,Stock,344.50549452,671.785714314,980.515854619,1254.19528056,1531.9368767,1770.87247129,1978.66786021,2200.03095624,2409.40845168,2569.03399359,2739.58777624,2937.86491276,3140.86887319,3370.87113866,3620.31670748,3867.02351911,4114.87232685,4363.48162131,4614.13371741,4869.35029134,5133.08585442
